CardName,ManaCost,Effect,Attack,Defense,Quantity,CardId
"CS103 Student",1,"<i>Still working on PA 5.</i>",1,3,2,1
"CS104 Student",2,"<b>Battlecry:</b> Deal 3 damage to your hero.",4,3,2,2
"Ask on Piazza",3,"Destory a random enemy minion.",-1,-1,1,3
"Ballmer's Peak ",8,"Give all friendly minions +3/+3.",-1,-1,1,4
"Mom's Cooking",2,"Deal 1 damage to all enemy minions.",-1,-1,2,5
"Leaveys Revenge",5,"<b>Battlecry:</b> Draw a card.",4,4,2,6
"CS201 Student ",7,"<b>Battlecry:</b> Deal 5 damage to itself.",10,10,1,7
"Fight On",4,"Give all friendly minions +1 attack.",-1,-1,2,8
Recruiter,6,<b>Charge</b>,5,2,2,9
"Angry Backpack",3,"<b>Battlecry:</b> Discard a random card from your hand.",5,5,2,10
"Brain Blast",3,"Draw 2 cards.",-1,-1,2,11
"Office Hours",1,"Deal 3 damage to the enemy hero.",-1,-1,2,12
"Prophet TA",10,"<b>Battlecry:</b> Deal 10 damage to the enemy hero.",1,1,1,13
"Free T-Shirt ",4,"Give all friend minions +2 health.",-1,-1,2,14
"The Hearthstone Rule",4,"Deal 5 damage to both heroes.",-1,-1,2,15
"Bad GE",1,"<i>I'm taking this Pass or Fail</i>",2,1,2,16
"Stressed Out Student ",2,"<b>Charge.</b> Give the enemy hero a mana crystal.",4,2,2,17
